"CAS_number"	"Product_name"	"Active_substance"	"Active_substance_original"	"CAS_drugbank"	"Name_drugbank"	"InChiKey_drugbank"	"InChi_drugbank"	"SMILES_drugbank"	"ATC_codes_drugbank"	"Solubility_drugbank"	"MOA_drugbank"	"ID_drugbank"	"CAS_pubchem"	"CID_pubchem"	"Active_substance_pubchem"	"MolecularFormula_pubchem"	"MolecularWeight_pubchem"	"CanonicalSMILES_pubchem"	"IsomericSMILES_pubchem"	"InChI_pubchem"	"InChIKey_pubchem"	"IUPACName_pubchem"	"XLogP_pubchem"	"actMass_pubchem"
"100-33-4"	"Pentacarinat"	"pentamidine isetionate"	"Pentamidine Isetionate"	"100-33-4"	"pentamidine"	"XDRYMKDFEDOLFX-UHFFFAOYSA-N"	"1S/C19H24N4O2/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23)"	"NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1"	"P01CX01"	"0.0236 mg/mL"	"The mode of action of pentamidine is not fully understood. It is thought that the drug interferes with nuclear metabolism producing inhibition of the synthesis of DNA, RNA, phospholipids, and proteins.
Target
Actions
Organism

UtRNA (cytosine(38)-C(5))-methyltransferase

other
Humans

UDNA

intercalation
Humans"	"DB00738"	"140-64-7"	8813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100-97-0"	"Antihydral"	"methenamine"	"Methenamine"	"100-97-0"	"methenamine"	"VKYKSIONXSXAKP-UHFFFAOYSA-N"	"1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2"	"C1N2CN3CN1CN(C2)C3"	"J01XX05"	"766.0 mg/mL"	"Methenamine does not have antibacterial properties in an alkaline environment (pH=6); however, in a more acidic environment (pH<6), methenamine is hydrolyzed to formaldehyde. (1) Formaldehyde is considered to be highly bactericidal. (1) Formaldehyde has nonspecific antibacterial activity and works by denaturing proteins and nucleic acid of bacteria. (1) Certain bacteria such as Proteus sp. can alkalize urine, inhibiting the beneficial activity of formaldehyde. (1) The key role of the salt component of the drug, for example hippuric acid, is to maintain the acidic state of the urine. (1)"	"DB06799"	"24911-88-4"	4101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10040-34-3"	"Dulcogotas"	"sodium picosulfate monohydrate"	"Sodium Picosulfate Monohydrate"	"10040-34-3"	"picosulfuric acid"	"UJIDKYTZIQTXPM-UHFFFAOYSA-N"	"1S/C18H15NO8S2/c20-28(21,22)26-15-8-4-13(5-9-15)18(17-3-1-2-12-19-17)14-6-10-16(11-7-14)27-29(23,24)25/h1-12,18H,(H,20,21,22)(H,23,24,25)"	"OS(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS(O)(=O)=O)C=C1)C1=CC=CC=N1"	"A06AB08|A06AB58"	"0.0185 mg/mL"	"Picosulfuric acid, as sodium picosulfate, is a contact laxative. Sodium picosulfate inhibits the absorption of water and
electrolytes, and increases their secretion into the intestinal lumen 3. It is hydrolyzed by colonic bacterial enzyme, sulfatase 3, to form an active metabolite bis-(p-hydroxy-phenyl)-pyridyl-2-methane (BHPM), which acts directly on the colonic mucosa to stimulate colonic peristalsis Label."	"DB09268"	NA	5282431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100427-26-7"	"Lercanidipin Accord"	"lercanidipine"	"Lercanidipine"	"100427-26-7"	"lercanidipine"	"ZDXUKAKRHYTAKV-UHFFFAOYSA-N"	"1S/C36H41N3O6/c1-24-31(34(40)44-6)33(28-18-13-19-29(22-28)39(42)43)32(25(2)37-24)35(41)45-36(3,4)23-38(5)21-20-30(26-14-9-7-10-15-26)27-16-11-8-12-17-27/h7-19,22,30,33,37H,20-21,23H2,1-6H3"	"COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1"	"C09DB08|C09BB02|C08CA13"	"0.000156 mg/mL"	"By deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, Lercanidipine inhibits the influx of extracellular calcium across the myocardial and vascular smooth muscle cell membranes The decrease in intracellular calcium inhibits the contractile processes of the myocardial smooth muscle cells, causing dilation of the coronary and systemic arteries, increased oxygen delivery to the myocardial tissue, decreased total peripheral resistance, decreased systemic blood pressure, and decreased afterload.
Target
Actions
Organism

AVoltage-dependent calcium channel gamma-1 subunit

inhibitor
Humans"	"DB00528"	NA	65866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1004316-88-4"	"Tybost"	"cobicistat"	"Cobicistat"	"1004316-88-4"	"cobicistat"	"ZCIGNRJZKPOIKD-CQXVEOKZSA-N"	"1S/C40H53N7O5S2/c1-29(2)38-43-34(27-53-38)25-46(3)39(49)45-36(16-17-47-18-20-51-21-19-47)37(48)42-32(22-30-10-6-4-7-11-30)14-15-33(23-31-12-8-5-9-13-31)44-40(50)52-26-35-24-41-28-54-35/h4-13,24,27-29,32-33,36H,14-23,25-26H2,1-3H3,(H,42,48)(H,44,50)(H,45,49)/t32-,33-,36+/m1/s1"	"CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1"	"J05AR09|J05AR15|J05AR14|J05AR22|J05AR18|V03AX03"	"0.00125 mg/mL"	"Cobicistat is a mechanism-based inhibitor of cytochrome P450 3A (CYP3A) isoforms. Inhibition of CYP3A-mediated metabolism by cobicistat increases the systemic exposure of CYP3A substrates atazanavir and darunavir and therefore enables increased anti-viral activity at a lower dosage. Cobicistat does not have any anti-HIV activity on its own."	"DB09065"	NA	25151504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100643-71-8"	"Aerinaze"	"desloratadine"	"Desloratadine"	"100643-71-8"	"desloratadine"	"JAUOIFJMECXRGI-UHFFFAOYSA-N"	"1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2"	"ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1"	"R06AX27"	"0.00395 mg/mL"	"Like other H1-blockers, Desloratadine competes with free histamine for binding at H1-receptors in the GI tract, uterus, large blood vessels, and bronchial smooth muscle. This blocks the action of endogenous histamine, which subsequently leads to temporary relief of the negative symptoms (eg. nasal congestion, watery eyes) brought on by histamine.
Target
Actions
Organism

AHistamine H1 receptor

antagonist
Humans"	"DB00967"	"100643-71-8"	124087	"Desloratadine"	"C19H19ClN2"	310.8	"C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4"	"C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4"	"InChI=1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2"	"JAUOIFJMECXRGI-UHFFFAOYSA-N"	"13-chloro-2-piperidin-4-ylidene-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaene"	4.5	310.1236763
"101-20-2"	"Cutisan"	"triclocarban"	"Triclocarban"	"101-20-2"	"triclocarban"	"ICUTUKXCWQYESQ-UHFFFAOYSA-N"	"1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)"	"ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1"	NA	"0.0029 mg/mL"	"Triclocarban is a triclosan analog with an antibacterial activity. Triclocarban exerts its effect by inhibiting the activity of enoyl-(acyl-carrier protein) (ACP) reductase, which is ubiquitously distributed in bacteria, fungi and various plants. ACP reductase catalyzes the last step in each cycle of fatty acid elongation in the type II fatty acid synthase systems. As a result, this agent interrupts cell membrane synthesis and leads to bacterial growth inhibition 17.
Target
Actions
Organism

AEnoyl-[acyl-carrier-protein] reductase [NADPH] FabI

antagonist
Staphylococcus aureus (strain MRSA252)"	"DB11155"	"101-20-2"	7547	"Triclocarban"	"C13H9Cl3N2O"	315.6	"C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl"	"C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl"	"InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)"	"ICUTUKXCWQYESQ-UHFFFAOYSA-N"	"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea"	5.3	313.978046
"101-31-5"	"Egazil"	"hyoscyamine sulfate"	"Hyoscyamine Sulfate"	"101-31-5"	"hyoscyamine"	"RKUNBYITZUJHSG-FXUDXRNXSA-N"	"1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16-/m1/s1"	"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1"	"A03BA03|A03CB31"	""	"Hyoscyamine competitively and non-selectively antagonises muscarinic receptors in the smooth muscle, cardiac muscle, sino-atrial node, atrioventricular node, exocrine nodes, gastrointestinal tract, and respiratory tract.3,7,8 Antagonism of muscarinic M1, M4, and M5 receptors in the central nervous system lead to cognitive impairment; antagonism of M2 in the sinoatrial and atrioventricular nodes leads to increases in heart rate and atrial contractility; and antagonism of M3 in smooth muscle results in reduced peristalsis, bladder contraction, salivary secretions, gastric secretions, bronchial secretions, sweating, increased bronchodilation, mydriasis, and cycloplegia.3,4,5
Target
Actions
Organism

AMuscarinic acetylcholine receptor M1

antagonist
Humans

AMuscarinic acetylcholine receptor M2

antagonist
Humans

UMuscarinic acetylcholine receptor M3

antagonist
Humans

UMuscarinic acetylcholine receptor M4

antagonist
Humans

UAdenylate cyclase type 1

inhibitor
Humans"	"DB00424"	NA	11479437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10118-90-8"	"Cipancin"	"minocycline"	"Minocycline"	"10118-90-8"	"minocycline"	"DYKFCLLONBREIL-KVUCHLLUSA-N"	"1S/C23H27N3O7/c1-25(2)12-5-6-13(27)15-10(12)7-9-8-11-17(26(3)4)19(29)16(22(24)32)21(31)23(11,33)20(30)14(9)18(15)28/h5-6,9,11,17,27,29-30,33H,7-8H2,1-4H3,(H2,24,32)/t9-,11-,17-,23-/m0/s1"	"[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2"	"J01AA08|J01AA20|A01AB23"	"3.07 mg/mL"	"Tetracyclines enter bacterial cells through OmpF and OmpC porins by coordinating with cations like magnesium.8 This allows tetracyclines into the periplasm where they dissociate, allowing the lipophilic tetracycline to diffuse into the bacterial cytoplasm.8 Tetracyclines prevent aminoacyl-tRNA from binding to the 30S ribosome, inhibiting protein synthesis.7,8,13,14
Target
Actions
Organism

A30S ribosomal protein S9

inhibitor
Escherichia coli (strain K12)

A30S ribosomal protein S4

inhibitor
Escherichia coli (strain K12)

U16S ribosomal RNA

inhibitor
Enteric bacteria and other eubacteria

UInterleukin-1 beta

modulator
Humans

UArachidonate 5-lipoxygenase

inhibitor
Humans

UMatrix metalloproteinase-9

inhibitor
Humans

UVascular endothelial growth factor A

inhibitor
Humans

UCaspase-1

negative modulator
Humans

UCaspase-3

negative modulator
Humans

UCytochrome c

negative modulator
Humans

UMitogen-activated Protein Kinases

inhibitor
Humans

UNitric oxide synthase, inducible

inhibitor
Humans"	"DB01017"	NA	54675783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101418-00-2"	"Albothyl"	"policresulen"	"Policresulen"	"101418-00-2"	"policresulen"	NA	NA	NA	"D08AE02|G01AX03"	""	"Not Available"	"DB13492"	"101418-00-2"	3050404	"Policresulen"	"C23H24O12S3"	588.6	"CC1=CC(=C(C=C1CC2=CC(=C(C(=C2C)CC3=CC(=C(C=C3C)O)S(=O)(=O)O)O)S(=O)(=O)O)S(=O)(=O)O)O"	"CC1=CC(=C(C=C1CC2=CC(=C(C(=C2C)CC3=CC(=C(C=C3C)O)S(=O)(=O)O)O)S(=O)(=O)O)S(=O)(=O)O)O"	"InChI=1S/C23H24O12S3/c1-11-4-18(24)20(36(27,28)29)8-14(11)6-16-10-22(38(33,34)35)23(26)17(13(16)3)7-15-9-21(37(30,31)32)19(25)5-12(15)2/h4-5,8-10,24-26H,6-7H2,1-3H3,(H,27,28,29)(H,30,31,32)(H,33,34,35)"	"ACZKMKGNTMOPBD-UHFFFAOYSA-N"	"2-hydroxy-3,5-bis[(4-hydroxy-2-methyl-5-sulfophenyl)methyl]-4-methylbenzenesulfonic acid"	3.7	588.04298972
